=================================
=  Denmark

Andreas Søndergaard,          G,  1.88 m,  b. 17 Jan 2001 @ Nyborg
Mathias Ross,                 D,  1.90 m,  b. 15 Jan 2001 @ Aalborg
Christoffer Petersen,         D,  1.73 m,  b. 13 Jan 2001 @ Randers
Frederik Winther,             D,  1.86 m,  b. 4 Jan 2001 @ Gentofte
Jagvir Singh Sidhu,           F,  - ,      b. 4 Jan 2001
Mikkel Kaufmann,              F,  1.90 m,  b. 3 Jan 2001 @ Hjørring

Magnus Kaastrup,              M,  1.76 m,  b. 28 Dec 2000 @ Skanderborg
Kasper Høgh,                  F,  1.86 m,  b. 6 Dec 2000 @ Randers
Jacob Trenskow,               M,  - ,      b. 26 Nov 2000
Matt O'Riley,                 M,  1.87 m,  b. 21 Nov 2000 @ Hounslow
Hans Christian Bernat,        G,  1.92 m,  b. 13 Nov 2000
Adam Sørensen,                D,  1.65 m,  b. 11 Nov 2000 @ Herlev
Oliver Sonne,                 D,  1.84 m,  b. 10 Nov 2000 @ Herfølge
Rasmus Carstensen,            D,  1.83 m,  b. 10 Nov 2000 @ Virklund
Anders Klynge,                M,  - ,      b. 14 Oct 2000
Mathias Jørgensen,            F,  1.85 m,  b. 20 Sep 2000 @ Hundested
Magnus Anbo,                  D,  1.85 m,  b. 18 Sep 2000 @ Risskov
Emil Frederiksen,             M,  1.80 m,  b. 5 Sep 2000 @ Viborg
Oliver Olsen,                 D,  - ,      b. 13 Aug 2000
Mads Hermansen,               G,  1.84 m,  b. 11 Jul 2000 @ Odense
Mikkel Damsgaard,             M,  1.80 m,  b. 3 Jul 2000 @ Roskilde
Søren Tengstedt,              F,  1.87 m,  b. 30 Jun 2000 @ Nibe
Joachim Rothmann,             F,  1.82 m,  b. 29 Jun 2000 @ Greve
Marcus Lindberg,              M,  1.83 m,  b. 27 Jun 2000
Magnus Warming,               F,  1.88 m,  b. 8 Jun 2000 @ Nykøbing
Sebastian Jørgensen,          M,  1.83 m,  b. 8 Jun 2000 @ Silkeborg
Casper Tengstedt,             F,  - ,      b. 1 Jun 2000
Felix Winther,                M,  1.85 m,  b. 18 May 2000
Nikolai Baden Frederiksen,    F,  1.84 m,  b. 18 May 2000 @ Odense
Jakob Kiilerich,              D,  1.90 m,  b. 10 May 2000
Anders Bærtelsen,             D,  1.90 m,  b. 9 May 2000 @ Støvring
Lukas Klitten,                D,  1.93 m,  b. 1 May 2000 @ Aalborg
Oliver Klitten,               F,  - ,      b. 1 May 2000
Emil Kornvig,                 M,  1.89 m,  b. 28 Apr 2000 @ Søborg
Sebastian Hausner,            D,  1.80 m,  b. 11 Apr 2000 @ Horsens
Japhet Sery Larsen,           D,  1.78 m,  b. 10 Apr 2000
Anton Skipper,                D,  1.94 m,  b. 31 Mar 2000
Lucas Lund Pedersen,          G,  1.95 m,  b. 19 Mar 2000 @ Bruunshåb
Nicolas Madsen,               M,  1.90 m,  b. 17 Mar 2000 @ Odense
Benjamin Hvidt,               M,  1.89 m,  b. 12 Mar 2000
Jesper Lindstrøm,             M,  1.82 m,  b. 29 Feb 2000 @ Taastrup
Marcus Gudmann,               D,  1.83 m,  b. 27 Feb 2000 @ Ledøje-Smørum
Nikolas Nartey,               M,  1.85 m,  b. 22 Feb 2000 @ Bagsværd
Victor Jensen,                M,  1.75 m,  b. 8 Feb 2000 @ Copenhagen
Peter Bjur,                   M,  1.80 m,  b. 2 Feb 2000
Mikkel Juhl,                  D,  1.78 m,  b. 20 Jan 2000 @ Præstø

Andreas Skov Olsen,           F,  1.88 m,  b. 29 Dec 1999 @ Hillerød
Peter Buch Christiansen,      F,  1.75 m,  b. 2 Dec 1999
Frederik Alves,               D,  1.89 m,  b. 8 Nov 1999 @ Hvidovre
Kasper Jørgensen,             D,  - ,      b. 7 Nov 1999
Lasse Sørensen,               M,  1.85 m,  b. 21 Oct 1999 @ Vejen
Andreas Poulsen,              D,  1.88 m,  b. 13 Oct 1999 @ Ikast
Mads Kikkenborg,              G,  1.97 m,  b. 7 Oct 1999
Lucas Chang-Andersen,         G,  - ,      b. 6 Oct 1999
Leonel Montano,               M,  1.90 m,  b. 2 Oct 1999
Elias Sørensen,               F,  1.89 m,  b. 18 Sep 1999 @ Sjunkeby
Nicklas Strunck Jakobsen,     M,  1.85 m,  b. 17 Aug 1999 @ Ølstykke
Kasper Kristensen,            G,  1.91 m,  b. 4 Aug 1999 @ Aarhus
Victor Torp,                  M,  1.78 m,  b. 30 Jul 1999 @ Lemvig
Mads Frøkjær-Jensen,          M,  1.86 m,  b. 29 Jul 1999 @ Copenhagen
Jeppe Okkels,                 F,  1.83 m,  b. 27 Jul 1999 @ Silkeborg
Kasper Lunding,               M,  1.78 m,  b. 17 Jul 1999 @ Aarhus
Mileta Rajović,               F,  1.89 m,  b. 17 Jul 1999
Niklas Vesterlund,            D,  1.85 m,  b. 6 Jul 1999 @ Copenhagen
Morten Hjulmand,              M,  1.85 m,  b. 25 Jun 1999 @ Kastrup
Mads Roerslev,                D,  1.85 m,  b. 24 Jun 1999 @ Copenhagen
Frederik Rieper,              D,  - ,      b. 19 Jun 1999
Carlo Holse,                  F,  1.75 m,  b. 2 Jun 1999 @ Copenhagen
Alexander Molberg,            D,  1.88 m,  b. 24 May 1999 @ Odense
Magnus Kofoed Andersen,       M,  1.75 m,  b. 10 May 1999 @ Hundested
Luka Račić,                   D,  1.87 m,  b. 8 May 1999 @ Greve
Adam Jakobsen,                F,  1.85 m,  b. 7 Apr 1999 @ Frederiksberg
Mikkel Hyllegaard,            F,  1.73 m,  b. 3 Apr 1999
Jens Odgaard,                 F,  1.88 m,  b. 31 Mar 1999 @ Hillerød
Oliver Christensen,           G,  1.90 m,  b. 22 Mar 1999 @ Kerteminde
Simon Graves Jensen,          D,  1.91 m,  b. 22 Mar 1999 @ Holstebro
Lukas Jensen,                 G,  1.98 m,  b. 18 Mar 1999 @ Helsingør
Julius Eskesen,               M,  1.75 m,  b. 16 Mar 1999 @ Odense
Magnus Mattsson,              M|F,1.74 m,  b. 25 Feb 1999 @ Marstal
Alexander Ammitzbøll,         F,  1.87 m,  b. 17 Feb 1999 @ Skanderborg
Magnus Wørts,                 D,  1.85 m,  b. 8 Feb 1999
Jonas Wind,                   F,  1.90 m,  b. 7 Feb 1999 @ Hvidovre
Younes Bakiz,                 F,  - ,      b. 5 Feb 1999
Oskar Snorre,                 G,  1.90 m,  b. 26 Jan 1999 @ Copenhagen
Andreas Bruus,                D|F,1.83 m,  b. 16 Jan 1999
Mads Bech Sørensen,           D,  1.85 m,  b. 7 Jan 1999 @ Horsens
Wessam Abou Ali,              F,  1.86 m,  b. 4 Jan 1999 @ Aalborg

Lukas Engel,                  D|M,1.80 m,  b. 14 Dec 1998
Victor Nelsson,               D,  1.85 m,  b. 14 Oct 1998 @ Hornbæk
Thomas Santos,                D|M,1.78 m,  b. 10 Oct 1998 @ Silkeborg
Jacob Bruun Larsen,           F,  1.83 m,  b. 19 Sep 1998 @ Lyngby
Morten Olsen,                 F,  - ,      b. 30 Aug 1998
Oliver Ottesen,               G,  1.84 m,  b. 22 Aug 1998
Oscar Hedvall,                G,  1.95 m,  b. 9 Aug 1998
Nicklas Røjkjær,              M,  1.79 m,  b. 24 Jul 1998 @ Gødvad
Daniel Anyembe,               D,  1.86 m,  b. 22 Jul 1998 @ Esbjerg
Oliver Kjærgaard,             M,  1.84 m,  b. 11 Jul 1998 @ Kokkedal
Jacob Pryts,                  G,  1.90 m,  b. 25 Jun 1998
Emil Riis Jakobsen,           F,  1.90 m,  b. 24 Jun 1998 @ Hobro
Peter Therkildsen,            M,  1.90 m,  b. 13 Jun 1998 @ Solrød Strand
Gustav Marcussen,             M,  1.78 m,  b. 12 Jun 1998
Magnus Westergaard,           M,  1.87 m,  b. 27 May 1998 @ Frederiksberg
Marco Ramkilde,               F,  1.87 m,  b. 9 May 1998 @ Aalborg
Anders Dreyer,                M,  1.72 m,  b. 2 May 1998 @ Bramming
Joël Kabongo,                 D,  1.90 m,  b. 5 Apr 1998
Oskar Buur,                   D,  1.78 m,  b. 31 Mar 1998 @ Skanderborg
Mark Brink,                   M,  1.77 m,  b. 15 Mar 1998 @ Esbjerg
Jacob Lungi Sørensen,         M,  1.84 m,  b. 3 Mar 1998 @ Esbjerg
Nikolai Laursen,              F,  1.83 m,  b. 19 Feb 1998 @ Vallensbæk
Peter Vindahl Jensen,         G,  1.94 m,  b. 16 Feb 1998 @ Helsingør
Malte Amundsen,               D,  1.79 m,  b. 11 Feb 1998 @ Herfølge
Marcus Bobjerg,               G,  1.88 m,  b. 26 Jan 1998 @ Horsens
Mads Emil Madsen,             M,  1.83 m,  b. 14 Jan 1998 @ Gammel Rye
Joel Felix,                   D,  1.85 m,  b. 13 Jan 1998
Martin Frese,                 D|F,1.79 m,  b. 4 Jan 1998

Mads Juel Andersen,           D,  1.94 m,  b. 27 Dec 1997 @ Albertslund
Alexander Munksgaard,         D,  1.81 m,  b. 13 Dec 1997
Alexander Bah,                D|F,1.83 m,  b. 9 Dec 1997 @ Årslev
Justin Shaibu,                F,  1.81 m,  b. 28 Oct 1997 @ Copenhagen
Kasper Dolberg,               F,  1.87 m,  b. 6 Oct 1997 @ Silkeborg
Kristian Kirkegaard,          M,  1.74 m,  b. 2 Oct 1997 @ Skibet
Magnus Christensen,           M,  1.82 m,  b. 20 Aug 1997 @ Frederikshavn
Rasmus Vinderslev,            M,  1.84 m,  b. 12 Aug 1997
Rezan Corlu,                  M,  1.70 m,  b. 7 Aug 1997 @ Glostrup
Ahmed Iljazovski,             D,  1.85 m,  b. 31 Jul 1997
Daniel Iversen,               G,  1.93 m,  b. 19 Jul 1997 @ Gørding
Rasmus Kristensen,            D,  1.86 m,  b. 11 Jul 1997 @ Brande
Louka Prip,                   M,  1.82 m,  b. 29 Jun 1997 @ Hvidovre
Mikkel Duelund,               M,  1.80 m,  b. 29 Jun 1997 @ Aarhus
Mads Døhr Thychosen,          D,  1.78 m,  b. 27 Jun 1997 @ Vejle
Jacob Rasmussen,              D,  1.90 m,  b. 28 May 1997 @ Odense
Joakim Mæhle,                 D,  1.84 m,  b. 20 May 1997 @ Østervrå
Frederik Lauenborg,           M,  1.81 m,  b. 18 May 1997
Mikkel Kallesøe,              D|M,1.93 m,  b. 20 Apr 1997 @ Lemvig
Jonas Dakir,                  G,  1.91 m,  b. 18 Apr 1997
Kevin Tshiembe,               D,  1.85 m,  b. 31 Mar 1997 @ Copenhagen
Frederik Ibsen,               G,  1.94 m,  b. 28 Mar 1997 @ Roskilde
Andreas Skovgaard,            D,  1.84 m,  b. 27 Mar 1997 @ Hagendrup
Andreas Smed,                 M,  1.82 m,  b. 19 Mar 1997
Rasmus Nicolaisen,            D,  1.90 m,  b. 16 Mar 1997 @ Aulum
Jacob Buus,                   D,  1.77 m,  b. 7 Mar 1997
Sammy Skytte,                 M,  1.90 m,  b. 20 Feb 1997 @ Silkeborg
Kristian Riis,                D,  1.89 m,  b. 17 Feb 1997 @ Haderslev
Anders Hagelskjær,            D,  1.92 m,  b. 16 Feb 1997 @ Herning
