=================================
=  Ghana

Ato Ampah,                    F,  - ,      b. 22 Apr 2006 @ Accra
Kasim Adams,                  D,  1.90 m,  b. 22 Jun 1995 @ Accra
Emmanuel Hackman,             D,  1.87 m,  b. 14 May 1995 @ Accra
Richard Attah,                G,  1.89 m,  b. 9 Apr 1995
Mamudo Moro,                  F,  1.72 m,  b. 7 Mar 1995 @ Accra

Daniel Amartey,               D|M,1.83 m,  b. 1 Dec 1994 @ Accra
Nana Welbeck,                 M,  1.79 m,  b. 24 Nov 1994 @ Accra
Felix Annan,                  G,  - ,      b. 22 Nov 1994
Bernard Mensah,               M,  1.80 m,  b. 17 Oct 1994 @ Accra
Gilbert Koomson,              F,  1.80 m,  b. 9 Sep 1994 @ Accra
Alexander Djiku,              D,  1.82 m,  b. 9 Aug 1994 @ Montpellier
Kwasi Okyere Wriedt,          F,  1.88 m,  b. 10 Jul 1994 @ Hamburg
Nasiru Mohammed,              M,  1.72 m,  b. 7 Jul 1994 @ Kumasi
Baba Rahman,                  D,  1.79 m,  b. 2 Jul 1994 @ Tamale
Joseph Amoah,                 M,  1.78 m,  b. 26 Jun 1994 @ Accra
Iñaki Williams,               F,  1.86 m,  b. 15 Jun 1994 @ Bilbao
Joseph Attamah,               M,  1.80 m,  b. 22 May 1994 @ Accra
Patrick Twumasi,              M,  1.75 m,  b. 9 May 1994 @ Obuasi
Isaac Sackey,                 M,  1.90 m,  b. 4 Apr 1994 @ Berekum
Caleb Ekuban,                 F,  1.88 m,  b. 23 Mar 1994 @ Villafranca
Samuel Asamoah,               M,  1.63 m,  b. 23 Mar 1994 @ Accra
Emmanuel Gyasi,               F,  1.82 m,  b. 11 Jan 1994 @ Palermo

Richard Ofori,                G|D,1.81 m,  b. 1 Nov 1993 @ Aburi
Kingsley Schindler,           M,  1.83 m,  b. 12 Jul 1993 @ Hamburg
Ebenezer Assifuah,            F,  1.76 m,  b. 3 Jul 1993 @ Accra
Thomas Partey,                M,  1.85 m,  b. 13 Jun 1993 @ Odumase Krobo
Thomas Boakye,                D,  1.72 m,  b. 10 May 1993 @ Accra
Abraham Frimpong,             D,  1.80 m,  b. 6 Apr 1993 @ Accra
Alfred Duncan,                M,  1.78 m,  b. 10 Mar 1993 @ Accra
Raman Chibsah,                M,  1.78 m,  b. 10 Mar 1993 @ Accra
Richmond Boakye,              F,  1.85 m,  b. 28 Jan 1993 @ Accra

Jeffrey Schlupp,              D|M|F,1.78 m,  b. 23 Dec 1992 @ Hamburg
Rashid Sumaila,               D,  1.82 m,  b. 18 Dec 1992 @ Cape Coast
Richard Boateng,              M,  1.78 m,  b. 10 Jul 1992 @ Accra
David Mawutor,                M,  1.81 m,  b. 12 Apr 1992 @ Accra
Christian Atsu,               M,  1.72 m,  b. 10 Jan 1992 @ Ada Foah
Alhassan Wakaso,              M,  1.80 m,  b. 7 Jan 1992 @ Tamale
Afriyie Acquah,               M,  1.79 m,  b. 5 Jan 1992 @ Accra

Andy Yiadom,                  D,  1.80 m,  b. 2 Dec 1991 @ Camden
Sadat Karim,                  F,  1.81 m,  b. 24 Oct 1991 @ Kumasi
Isaac Cofie,                  M,  1.80 m,  b. 20 Sep 1991 @ Accra
Waris Majeed,                 F,  1.72 m,  b. 19 Sep 1991 @ Tamale
Phil Ofosu-Ayeh,              D,  1.80 m,  b. 15 Sep 1991 @ Moers
Jordan Ayew,                  F,  1.82 m,  b. 11 Sep 1991 @ Marseille
Davis Mensah,                 F,  1.86 m,  b. 2 Aug 1991 @ Bussolengo

Felix Adjei,                  D,  1.75 m,  b. 17 Dec 1990
Emmanuel Agyemang-Badu,       M,  1.82 m,  b. 2 Dec 1990 @ Berekum
Daniel Opare,                 D,  1.72 m,  b. 18 Oct 1990 @ Accra
David Accam,                  F,  1.74 m,  b. 28 Sep 1990 @ Accra
Enoch Kofi Adu,               M,  1.80 m,  b. 14 Sep 1990 @ Kumasi
Kwesi Appiah,                 F,  1.81 m,  b. 12 Aug 1990 @ Peterborough
Wakaso Mubarak,               M,  1.65 m,  b. 25 Jul 1990 @ Tamale
Jonathan Mensah,              D,  1.88 m,  b. 13 Jul 1990 @ Accra
Lee Addy,                     D,  1.78 m,  b. 7 Jul 1990 @ Accra
Mark Asigba,                  D,  1.77 m,  b. 7 Jul 1990 @ Accra
Abdul Aziz Tetteh,            M,  1.88 m,  b. 25 May 1990 @ Dansoman

Mohammed Rabiu,               M,  1.87 m,  b. 31 Dec 1989 @ Accra
André Ayew,                   F,  1.76 m,  b. 17 Dec 1989 @ Seclin
Daniel Agyei,                 G,  1.86 m,  b. 10 Nov 1989 @ Dansoman
Stephen Adams,                G,  1.86 m,  b. 28 Sep 1989 @ Kumasi
Samuel Inkoom,                D,  1.79 m,  b. 22 Aug 1989 @ Sekondi-Takoradi
Kofi Schulz,                  D,  1.88 m,  b. 21 Jul 1989 @ Berlin
Dominic Adiyiah,              F,  1.72 m,  b. 10 Jul 1989 @ Accra
Samuel Mensiro,               D,  1.75 m,  b. 19 May 1989
Stephen Ahorlu,               G,  1.86 m,  b. 10 May 1989 @ Kpandu

Kwadwo Asamoah,               D|M,1.73 m,  b. 9 Dec 1988 @ Accra
Isaac Vorsah,                 D,  1.92 m,  b. 21 Jun 1988 @ Accra
Denis Odoi,                   D,  1.78 m,  b. 27 May 1988 @ Leuven

Albert Adomah,                M|F,1.85 m,  b. 13 Dec 1987 @ Lambeth
Adam Larsen Kwarasey,         G,  1.88 m,  b. 12 Dec 1987 @ Oslo
John Boye,                    D,  1.84 m,  b. 23 Apr 1987 @ Accra
Kevin-Prince Boateng,         M,  1.85 m,  b. 6 Mar 1987 @ Berlin

Prince Tagoe,                 F,  1.88 m,  b. 9 Nov 1986 @ Accra
Anthony Annan,                M,  1.75 m,  b. 21 Jul 1986 @ Accra
Nana Asare,                   D,  1.75 m,  b. 11 Jul 1986 @ Kumasi
Harrison Afful,               D,  1.82 m,  b. 24 Jun 1986 @ Kumasi
Quincy Owusu-Abeyie,          F,  1.80 m,  b. 15 Apr 1986 @ Amsterdam

Asamoah Gyan,                 F,  1.80 m,  b. 22 Nov 1985 @ Accra
Rahim Ayew,                   M,  1.78 m,  b. 27 Sep 1985 @ Tamale
Fatau Dauda,                  G,  1.80 m,  b. 6 Apr 1985 @ Obuasi

Sulley Muntari,               M,  1.79 m,  b. 27 Jul 1984 @ Konongo

Derek Boateng,                M,  1.85 m,  b. 2 May 1983 @ Accra

Michael Essien,               M,  1.78 m,  b. 3 Dec 1982 @ Accra
John Mensah,                  D,  1.80 m,  b. 29 Nov 1982 @ Obuasi

John Paintsil,                D,  1.78 m,  b. 15 Jun 1981 @ Berekum

Stephen Appiah,               M,  1.78 m,  b. 24 Dec 1980 @ Achimota
Matthew Amoah,                F,  1.75 m,  b. 24 Oct 1980 @ Tema

Richard Kingson,              G,  1.83 m,  b. 13 Jun 1978 @ Accra

Hans Sarpei,                  D,  1.78 m,  b. 28 Jun 1976 @ Tema
