=================================
=  Greece

Athanasios Christopoulos,     D,  - ,      b. 5 Jan 2008
Nikos Peios,                  M,  1.84 m,  b. 17 Jun 1999 @ Veria
Kostas Apostolakis,           D,  1.78 m,  b. 28 May 1999 @ Athens
Marios Pourzitidis,           D,  1.90 m,  b. 8 May 1999 @ Thessaloniki
Argyris Kampetsis,            F,  1.86 m,  b. 6 May 1999 @ Athens
Antonis Trimmatis,            F,  1.76 m,  b. 29 Apr 1999 @ Kos
Leonidas Rossi,               D,  1.83 m,  b. 19 Apr 1999 @ Sarandë
Antonis Stergiakis,           G,  1.95 m,  b. 16 Mar 1999 @ Thessaloniki
Panagiotis Katsikas,          G,  1.89 m,  b. 10 Mar 1999 @ Athens
Christos Giousis,             M,  1.76 m,  b. 8 Feb 1999 @ Athens
Konstantinos Balogiannis,     D|M,1.79 m,  b. 8 Feb 1999 @ Thessaloniki
Giannis Iatroudis,            F,  1.90 m,  b. 2 Feb 1999 @ Heraklion
Panagiotis Ginis,             G,  1.90 m,  b. 23 Jan 1999 @ Athens

Evangelos Pavlidis,           F,  1.80 m,  b. 21 Nov 1998 @ Thessaloniki
Giannis Papanikolaou,         M,  1.81 m,  b. 18 Nov 1998 @ Marousi
Nikos Kainourgios,            D,  - ,      b. 8 Sep 1998
Dimitris Nikolaou,            D,  1.88 m,  b. 13 Aug 1998 @ Chalcis
Panagiotis Retsos,            D,  1.84 m,  b. 9 Aug 1998 @ Johannesburg
Georgios Giannoutsos,         D,  1.83 m,  b. 16 Jul 1998 @ Psachna
Giorgos Giannoutsos,          D,  1.81 m,  b. 16 Jul 1998 @ Chalcis
Giorgos Daviotis,             M,  1.81 m,  b. 29 Jun 1998 @ Athens
Abdul Rahman Oues,            D,  1.75 m,  b. 14 Jun 1998 @ Athens
Konstantinos Panagou,         D,  1.75 m,  b. 11 Jun 1998 @ Cholargos
Spyros Natsos,                D,  1.77 m,  b. 9 Jun 1998 @ Preveza
Odysseas Lymperakis,          D,  1.76 m,  b. 5 Jun 1998 @ Kavala
Manolis Kragiopoulos,         M,  1.78 m,  b. 29 May 1998 @ Katerini
Dimitris Limnios,             M|F,1.78 m,  b. 27 May 1998 @ Volos
Vassilis Xenopoulos,          G,  1.85 m,  b. 20 May 1998 @ Athens
Alexandros Parras,            D,  1.80 m,  b. 12 May 1998
Stefanos Evangelou,           D,  1.85 m,  b. 12 May 1998 @ Athens
Antonis Oikonomopoulos,       D,  1.79 m,  b. 9 May 1998 @ Athens
Alexandros Katranis,          D,  1.74 m,  b. 4 May 1998 @ Volos
Vasilis Poghosyan,            M,  1.79 m,  b. 4 May 1998 @ Athens
Pantelis Panourgias,          D,  1.90 m,  b. 13 Apr 1998 @ Athens
Giorgos Maidanos,             D,  1.70 m,  b. 12 Apr 1998 @ Chrysoupoli
Giorgos Manousakis,           F,  1.77 m,  b. 10 Apr 1998 @ Heraklion
Giannis Angelopoulos,         G,  1.85 m,  b. 3 Apr 1998 @ Messenia
Giannis Bouzoukis,            M,  1.72 m,  b. 27 Mar 1998 @ Preveza
Giannis Varkas,               F,  1.78 m,  b. 27 Mar 1998 @ Chalcis
Savvas Mourgos,               M,  1.73 m,  b. 16 Mar 1998 @ Amarousio
Giorgos Kornezos,             D,  1.91 m,  b. 23 Feb 1998 @ Athens
Giannis Kiakos,               D,  1.82 m,  b. 14 Feb 1998 @ Bamberg
Stathis Belevonis,            M,  1.72 m,  b. 6 Feb 1998
Theodoros Mingos,             M,  1.79 m,  b. 6 Feb 1998 @ Athens
Giannis Ikonomidis,           M,  1.81 m,  b. 3 Jan 1998

Kostas Galanopoulos,          M,  1.72 m,  b. 28 Dec 1997 @ Athens
Lazaros Lambrou,              F,  1.83 m,  b. 19 Dec 1997 @ Katerini
Konstantinos Mavropanos,      D,  1.92 m,  b. 11 Dec 1997 @ Athens
Spyros Glynos,                F,  1.68 m,  b. 2 Dec 1997 @ Marousi
Panagiotis Moraitis,          F,  1.80 m,  b. 1 Dec 1997 @ Agrinio
Stratos Svarnas,              D,  1.81 m,  b. 11 Nov 1997 @ Athens
Ilias Chatzitheodoridis,      D,  1.78 m,  b. 5 Nov 1997 @ Katerini
Ilias Kyritsis,               G,  1.85 m,  b. 14 Oct 1997 @ Frankfurt am Main
Stefanos Stroungis,           D,  1.87 m,  b. 9 Oct 1997 @ Volos
Ilias Tselios,                M,  1.68 m,  b. 6 Oct 1997 @ Athens
Kostas Doumtsios,             F,  1.82 m,  b. 20 Sep 1997 @ Serres
Lazaros Rota,                 D,  1.77 m,  b. 23 Aug 1997 @ Katerini
Anastasios Karagiozis,        G,  1.95 m,  b. 20 Jun 1997 @ Katerini
Tasos Chatzigiovanis,         M,  1.75 m,  b. 31 May 1997 @ Mytilene
Georgios Servilakis,          D,  1.75 m,  b. 18 May 1997 @ Retyhmno
Alexis Triadis,               M,  1.85 m,  b. 16 May 1997 @ Herdecke
Fanis Mavromatis,             D,  1.86 m,  b. 12 May 1997 @ Argos
Giorgos Manthatis,            M,  1.82 m,  b. 11 May 1997 @ Athens
Thanasis Androutsos,          D|M,1.82 m,  b. 6 May 1997 @ Athens
Dimitris Stavropoulos,        D,  1.91 m,  b. 1 May 1997 @ Athens
Kyriakos Mazoulouxis,         D,  1.83 m,  b. 1 May 1997 @ Thessaloniki
Giorgos Xydas,                F,  1.75 m,  b. 14 Apr 1997 @ Chios
Fotis Pantekidis,             D,  1.86 m,  b. 2 Apr 1997 @ Ptolemaida
Alexandros Malis,             D,  1.82 m,  b. 19 Mar 1997 @ Agrinio
Athanasios Margaritis,        M,  1.75 m,  b. 17 Mar 1997
Konstantinos Kotsopoulos,     F,  1.77 m,  b. 21 Feb 1997 @ Veria
Nikos Vafeas,                 D,  1.87 m,  b. 21 Feb 1997 @ Thessaloniki
Manolis Patralis,             M,  1.74 m,  b. 6 Feb 1997 @ Nea Redestos
Pantelis Hatzidiakos,         D,  1.81 m,  b. 18 Jan 1997 @ Rhodes

James Efmorfidis,             M,  1.78 m,  b. 18 Oct 1996 @ Nea Erythraia
Dimitris Giannoulis,          D,  1.75 m,  b. 17 Oct 1996 @ Katerini
Christos Theodorakis,         G,  1.85 m,  b. 17 Sep 1996 @ Ioannina
Manolis Saliakas,             D,  1.75 m,  b. 12 Sep 1996 @ Heraklion
Theocharis Iliadis,           D,  1.85 m,  b. 5 Sep 1996 @ Katerini
Anastasios Donis,             F,  1.76 m,  b. 29 Aug 1996 @ Blackburn
Panagiotis Deligiannidis,     D,  1.77 m,  b. 29 Aug 1996 @ Thessaloniki
Giannis Masouras,             D|M,1.81 m,  b. 24 Aug 1996 @ Patras
Konstantinos Kotsaris,        G,  1.85 m,  b. 25 Jul 1996 @ Athens
Triantafyllos Pasalidis,      D,  1.85 m,  b. 19 Jul 1996 @ Eleftherio-Kordelio
Charalampos Makridis,         F,  1.80 m,  b. 5 Jul 1996 @ Minden
Konstantinos Provydakis,      D,  1.75 m,  b. 21 May 1996 @ Heraklion
Kostas Tsimikas,              D,  1.77 m,  b. 12 May 1996 @ Thessaloniki
Efthimios Koulouris,          F,  1.84 m,  b. 6 Mar 1996 @ Skydra
Paschalis Staikos,            M,  1.77 m,  b. 8 Feb 1996 @ Drama
Georgios Kyriakopoulos,       D,  1.78 m,  b. 5 Feb 1996 @ Patras
Nikos Vergos,                 F,  1.83 m,  b. 13 Jan 1996 @ Kilkis
Zissis Karahalios,            M,  1.75 m,  b. 10 Jan 1996 @ Karditsa

Achilleas Pouggouras,         D,  1.87 m,  b. 13 Dec 1995 @ Thessaloniki
Taxiarchis Fountas,           M|F,1.68 m,  b. 4 Sep 1995 @ Mesologi
Angelos Oikonomou,            M,  1.73 m,  b. 23 Aug 1995 @ Thessaloniki
Leonardo Koutris,             D,  1.74 m,  b. 23 Jul 1995 @ Rhodes
Praxitelis Vouros,            D,  1.83 m,  b. 5 May 1995 @ Mytilini
Antonis Papasavvas,           M,  1.85 m,  b. 20 Mar 1995 @ Arta
Antonis Dentakis,             D,  1.79 m,  b. 13 Mar 1995 @ Chania
Sotiris Tsiloulis,            M,  1.85 m,  b. 14 Feb 1995 @ Larissa
Adam Tzanetopoulos,           D,  1.93 m,  b. 10 Feb 1995 @ Volos
Epaminondas Pantelakis,       D,  1.87 m,  b. 10 Feb 1995 @ Chania
