=================================
=  Ireland

Alex Dunne,                   D,  1.72 m,  b. 5 Aug 2002 @ Dublin
Adam Lennon,                  F,  1.63 m,  b. 4 Aug 2002 @ Athlone
Cole Omorehiomwan,            D,  - ,      b. 2 Aug 2002
Festy Ebosele,                D,  1.80 m,  b. 2 Aug 2002 @ Wexford
Mark Hanratty,                M,  - ,      b. 19 Jul 2002
Jack Kavanagh,                M,  - ,      b. 8 Jul 2002
Sean Kerrigan,                M,  1.73 m,  b. 5 Jul 2002 @ Sligo
Harvey Neville,               D,  1.81 m,  b. 26 Jun 2002 @ Manchester
Andrew Omobamidele,           D,  1.88 m,  b. 23 Jun 2002 @ Dublin
Josh Giurgi,                  F,  1.76 m,  b. 18 Jun 2002 @ Dublin
Mohamed Boudiaf,              D,  - ,      b. 12 Jun 2002 @ Dublin
Ebuka Kwelele,                F,  - ,      b. 11 Jun 2002
Cian Browne,                  D,  - ,      b. 8 Jun 2002
James Furlong,                D,  1.78 m,  b. 7 Jun 2002 @ Dublin
Jarlath Jones,                D,  - ,      b. 6 Jun 2002 @ Monasterboice
Conor Carty,                  F,  1.84 m,  b. 25 May 2002 @ Wicklow
Luke Turner,                  D,  1.86 m,  b. 20 May 2002 @ Dublin
Charlie McCann,               M,  1.78 m,  b. 24 Apr 2002 @ Coventry
Luke Rudden,                  F,  - ,      b. 23 Apr 2002
Cillian Heaney,               F,  - ,      b. 18 Apr 2002
Evan Weir,                    D,  1.85 m,  b. 16 Apr 2002 @ Dublin
Matthew Healy,                M,  - ,      b. 12 Apr 2002
Dennis Cirkin,                D,  1.82 m,  b. 6 Apr 2002 @ Dublin
Dean McMenamy,                M,  1.73 m,  b. 4 Apr 2002 @ Dublin
Callum Stringer,              F,  - ,      b. 3 Apr 2002
Killian Phillips,             M,  - ,      b. 30 Mar 2002
Eoin Farrell,                 M,  - ,      b. 27 Mar 2002 @ Athy
Kian Leavy,                   M,  - ,      b. 21 Mar 2002 @ Ardee
Harry Halwax,                 G,  1.90 m,  b. 20 Mar 2002 @ Dublin
Stephen Black,                D,  - ,      b. 11 Mar 2002
Cian Kelly,                   D,  1.83 m,  b. 4 Mar 2002 @ Dublin
Armstrong Oko-Flex,           F,  1.80 m,  b. 2 Mar 2002 @ Dublin
Séamas Keogh,                 D|M,- ,      b. 28 Feb 2002 @ Sligo
Gabriel Adebambo,             M,  - ,      b. 27 Feb 2002
Stephan Negru,                D,  1.86 m,  b. 24 Feb 2002 @ Florești
Gavin Bazunu,                 G,  1.89 m,  b. 20 Feb 2002 @ Dublin
Troy Parrott,                 F,  1.75 m,  b. 4 Feb 2002 @ Dublin
Jimmy Corcoran,               G,  1.83 m,  b. 1 Feb 2002 @ Kells
Timi Sobowale,                D,  - ,      b. 27 Jan 2002 @ Dundalk
Adam Verdon,                  M,  - ,      b. 25 Jan 2002
Andrew Quinn,                 D,  - ,      b. 24 Jan 2002
Roland Idowu,                 M,  1.83 m,  b. 21 Jan 2002 @ Dublin
Enda Minogue,                 G,  - ,      b. 12 Jan 2002
Zak Delaney,                  D,  - ,      b. 10 Jan 2002
Cole Kiernan,                 F,  1.81 m,  b. 3 Jan 2002 @ Hartlepool

Alex Gilbert,                 F,  1.83 m,  b. 28 Dec 2001 @ Birmingham
Odhran Kennedy,               M,  - ,      b. 28 Dec 2001
Danu Kinsella-Bishop,         F,  - ,      b. 22 Dec 2001 @ Dublin
Ricardo Dinanga,              F,  - ,      b. 6 Dec 2001
Brian McManus,                M,  1.76 m,  b. 29 Nov 2001 @ Dublin
Bobby Jones,                  G,  1.89 m,  b. 20 Nov 2001 @ Darlington
Dawson Devoy,                 M,  1.77 m,  b. 20 Nov 2001 @ Ashbourne
Ben Lynch,                    D,  - ,      b. 9 Nov 2001
Eiran Cashin,                 D,  1.87 m,  b. 9 Nov 2001 @ Mansfield
James Storer,                 G,  - ,      b. 5 Nov 2001 @ Buxton
