=================================
=  Serbia

Matija Popović,               M,  1.93 m,  b. 8 Jan 2006 @ Altötting
Matija Ljujić,                M,  1.85 m,  b. 28 Oct 1993 @ Pirjepolje
Miloš Deletić,                F,  1.79 m,  b. 13 Oct 1993 @ Belgrade
Bojan Čečarić,                M,  1.90 m,  b. 10 Oct 1993 @ Nova Pazova
Djordje Crnomarković,         D,  1.88 m,  b. 10 Sep 1993 @ Belgrade
Vladimir Rodić,               M,  1.76 m,  b. 7 Sep 1993 @ Belgrade
Saša Jovanović,               M,  1.84 m,  b. 30 Aug 1993 @ Belgrade
Darko Lemajić,                F,  1.97 m,  b. 20 Aug 1993 @ Belgrade
Filip Pajović,                G,  1.83 m,  b. 30 Jul 1993 @ Zrenjanin
Ivan Lakićević,               D,  1.80 m,  b. 27 Jul 1993 @ Belgrade
Marko Jevtović,               M,  1.92 m,  b. 24 Jul 1993 @ Belgrade
Marko Poletanović,            M,  1.84 m,  b. 20 Jul 1993 @ Novi Sad
Lazar Rosić,                  D,  1.86 m,  b. 29 Jun 1993 @ Kragujevac
Milan Jevtović,               M,  1.84 m,  b. 13 Jun 1993 @ Čačak
Dušan Pantelić,               M,  1.78 m,  b. 15 Apr 1993 @ Kragujevac
Matija Nastasić,              D,  1.87 m,  b. 28 Mar 1993 @ Belgrade
Branko Jovićić,               M,  1.79 m,  b. 18 Mar 1993 @ Čačak
Uroš Spajić,                  D,  1.86 m,  b. 13 Feb 1993 @ Belgrade
Nemanja Radoja,               M,  1.86 m,  b. 6 Feb 1993 @ Novi Sad
Filip Stojković,              D,  1.74 m,  b. 22 Jan 1993 @ Belgrade
Daniel Farkaš,                D,  1.80 m,  b. 13 Jan 1993 @ Senta

Aleksandar Jovanović,         G,  1.91 m,  b. 6 Dec 1992 @ Niš
Daniel Petrović,              D,  1.85 m,  b. 27 Nov 1992 @ Linz
Filip Malbašić,               F,  1.83 m,  b. 18 Nov 1992 @ Belgrade
Filip Kostić,                 M|F,1.80 m,  b. 1 Nov 1992 @ Kragujevac
Uroš Ćosić,                   D,  1.86 m,  b. 24 Oct 1992 @ Belgrade
Adam Marušić,                 D|M,1.85 m,  b. 17 Oct 1992 @ Belgrade
Marko Gobeljić,               D,  1.85 m,  b. 13 Sep 1992 @ Kraljevo
Marko Petković,               D,  1.85 m,  b. 3 Sep 1992 @ Sremska Mitrovica
Nenad Lukić,                  F,  1.85 m,  b. 2 Sep 1992 @ Sremska Mitrovica
Lazar Ćirković,               D,  1.92 m,  b. 22 Aug 1992 @ Niš
Nikola Stojiljković,          F,  1.82 m,  b. 17 Aug 1992 @ Belgrade
Stefan Dražić,                F,  1.87 m,  b. 14 Aug 1992 @ Belgrade
Radomir Milosavljević,        M,  1.83 m,  b. 30 Jul 1992 @ Ćuprija
Srđan Dimitrov,               M,  1.75 m,  b. 28 Jul 1992 @ Újvidék
Aleksandar Pešić,             F,  1.90 m,  b. 21 May 1992 @ Niš
Nikola Boranijašević,         D,  1.82 m,  b. 19 May 1992 @ Nova Varoš
Goran Čaušić,                 M,  1.80 m,  b. 5 May 1992 @ Belgrade
