=================================
=  France

Naël Jaby,                    M,  1.75 m,  b. 20 Apr 2001 @ Clermont-Ferrand
Guillaume Dietsch,            G,  1.85 m,  b. 17 Apr 2001 @ Forbach
Teddy Boulhendi,              G,  1.85 m,  b. 9 Apr 2001 @ Martigues
Ateef Konaté,                 F,  1.79 m,  b. 4 Apr 2001 @ Aubervilliers
Khéphren Thuram,              M,  1.92 m,  b. 26 Mar 2001 @ Reggio Emilia
William Saliba,               D,  1.93 m,  b. 24 Mar 2001 @ Bondy
Benoît Badiashile,            D,  1.92 m,  b. 6 Mar 2001 @ Limoges
Tanguy Coulibaly,             M,  1.75 m,  b. 18 Feb 2001 @ Sèvres
Thomas Himeur,                G,  1.87 m,  b. 17 Jan 2001 @ Toulouse
Steven Baseya,                D,  1.89 m,  b. 14 Jan 2001 @ Longjumeau
Yann Gboho,                   M,  1.73 m,  b. 14 Jan 2001 @ Man
Bafodé Diakité,               D,  1.82 m,  b. 6 Jan 2001 @ Toulouse
Marley Aké,                   F,  1.77 m,  b. 5 Jan 2001 @ Béziers

Wesley Fofana,                D,  1.85 m,  b. 17 Dec 2000 @ Marseille
Julien Ponceau,               M,  1.70 m,  b. 28 Nov 2000 @ Catumbela
Enzo Loiodice,                M,  1.76 m,  b. 27 Nov 2000 @ Paris
Junior Dina Ebimbe,           M,  1.83 m,  b. 21 Nov 2000 @ Stains
Melvin Bard,                  D,  1.73 m,  b. 6 Nov 2000 @ Écully
Niels Nkounkou,               D,  1.84 m,  b. 1 Nov 2000 @ Pontoise
Alexis Beka Beka,             M,  1.75 m,  b. 4 Oct 2000 @ Paris
Sacha Boey,                   D,  1.78 m,  b. 13 Sep 2000 @ Montreuil
Yadaly Diaby,                 F,  1.85 m,  b. 9 Aug 2000 @ Saint-Pierre
Lenny Pintor,                 F,  1.79 m,  b. 5 Aug 2000 @ Sarcelles
Yacine Adli,                  M,  1.86 m,  b. 29 Jul 2000 @ Vitry-sur-Seine
Michel Ndary Adopo,           M,  1.87 m,  b. 19 Jul 2000 @ Villeneuve-Saint-Georges
