=================================
=  Poland

Kacper Radkowski,             D,  1.94 m,  b. 27 Mar 2001
Michał Karbownik,             D,  1.81 m,  b. 13 Mar 2001 @ Radom
Maik Nawrocki,                D,  1.90 m,  b. 7 Feb 2001 @ Bremen
Michał Stachera,              D,  1.75 m,  b. 18 Jan 2001 @ Oświęcim
Łukasz Łakomy,                M,  1.81 m,  b. 18 Jan 2001 @ Puławy
Kryspin Szcześniak,           D,  1.81 m,  b. 8 Jan 2001 @ Gorzów Wielkopolski

Maciej Żurawski,              M,  1.84 m,  b. 22 Dec 2000 @ Toruń
Jakub Stolarczyk,             G,  1.94 m,  b. 19 Dec 2000 @ Chęciny
Marcel Pięczek,               D,  1.85 m,  b. 11 Dec 2000
Adrian Benedyczak,            F,  1.91 m,  b. 24 Nov 2000 @ Kamień Pomorski
Jakub Letniowski,             M,  1.77 m,  b. 13 Nov 2000 @ Gdańsk
Jakub Bielecki,               G,  1.92 m,  b. 28 Oct 2000 @ Bytom
Bartłomiej Kukułowicz,        D,  1.81 m,  b. 11 Oct 2000 @ Warsaw
Mateusz Praszelik,            M,  1.84 m,  b. 26 Sep 2000 @ Racibórz
Bartłomiej Wdowik,            D,  1.84 m,  b. 25 Sep 2000 @ Olkusz
Michael Ameyaw,               M,  1.76 m,  b. 16 Sep 2000 @ Łódź
Kamil Ogorzały,               M,  1.78 m,  b. 5 Sep 2000 @ Nowy Sącz
Jakub Szymański,              G,  1.90 m,  b. 30 Aug 2000 @ Jastrzębie Zdrój
Mateusz Skrzypczak,           D,  1.86 m,  b. 22 Aug 2000 @ Poznań
Mateusz Kochalski,            G,  1.89 m,  b. 25 Jul 2000 @ Świdnik
Daniel Pik,                   M,  1.77 m,  b. 20 Jul 2000 @ Pułtusk
Wiktor Długosz,               M,  1.82 m,  b. 1 Jul 2000 @ Kielce
Michał Ozga,                  D,  1.81 m,  b. 23 Jun 2000 @ Kraków
Kamil Piątkowski,             D,  1.91 m,  b. 21 Jun 2000 @ Jasło
Wojciech Hajda,               M,  1.82 m,  b. 23 May 2000 @ Radzionków
Wojciech Łaski,               M,  1.86 m,  b. 21 May 2000 @ Wodzisław Śląski
Patryk Zaucha,                D,  1.75 m,  b. 19 Apr 2000 @ Tarnów
Sebastian Walukiewicz,        D,  1.88 m,  b. 5 Apr 2000 @ Gorzów Wielkopolski
Kamil Kruk,                   D,  1.85 m,  b. 13 Mar 2000 @ Drezdenko
Łukasz Poręba,                M,  1.80 m,  b. 13 Mar 2000 @ Legnica
Bartosz Mrozek,               G,  1.90 m,  b. 23 Feb 2000 @ Katowice
Jakub Kiwior,                 D,  1.89 m,  b. 15 Feb 2000 @ Tychy
Michał Skóraś,                M,  1.72 m,  b. 15 Feb 2000 @ Jastrzębie Zdrój
Filip Majchrowicz,            G,  1.94 m,  b. 9 Feb 2000 @ Olsztyn
Mateusz Górski,               G,  1.94 m,  b. 5 Feb 2000 @ Duszniki-Zdrój
Kacper Tabiś,                 D,  1.75 m,  b. 31 Jan 2000 @ Katowice
Piotr Janczukowicz,           M,  1.83 m,  b. 29 Jan 2000 @ Słupsk
Marcel Zylla,                 M,  1.78 m,  b. 14 Jan 2000 @ Munich
Kacper Michalski,             D,  1.87 m,  b. 3 Jan 2000 @ Kostrzyn nad Odrą

Adrian Gryszkiewicz,          D,  1.85 m,  b. 13 Dec 1999 @ Bytom
Patryk Sikora,                M,  1.87 m,  b. 20 Nov 1999 @ Mikołów
Radosław Majecki,             G,  1.91 m,  b. 16 Nov 1999 @ Starachowice
Marcin Bułka,                 G,  1.99 m,  b. 4 Oct 1999 @ Płock
Sylwester Lusiusz,            M,  1.80 m,  b. 18 Sep 1999 @ Brzozów
Tomasz Makowski,              M,  1.78 m,  b. 19 Jul 1999 @ Zgierz
Karol Niemczycki,             G,  1.89 m,  b. 5 Jul 1999 @ Kraków
Paweł Olszewski,              D,  1.78 m,  b. 7 Jun 1999 @ Wrocław
Kacper Jodłowski,             M,  1.87 m,  b. 30 May 1999 @ Kraków
Kacper Chodyna,               M,  1.76 m,  b. 24 May 1999 @ Drawsko Pomorskie
Sebastian Szymanski,          M,  1.74 m,  b. 10 May 1999 @ Biała Podlaska
Aleks Ławniczak,              D,  1.89 m,  b. 5 May 1999 @ Poznań
Dominik Steczyk,              F,  1.85 m,  b. 4 May 1999 @ Katowice
Daniel Bielica,               G,  1.89 m,  b. 30 Apr 1999 @ Zabrze
Patryk Makuch,                F,  1.87 m,  b. 11 Apr 1999 @ Łódź
Jakub Moder,                  M,  1.88 m,  b. 7 Apr 1999 @ Szczecinek
Bartosz Slisz,                M,  1.79 m,  b. 29 Mar 1999 @ Rybnik
Jan Sobociński,               D,  1.86 m,  b. 20 Mar 1999 @ Łódź
Michał Feliks,                F,  1.86 m,  b. 19 Mar 1999 @ Kraków
Kacper Chorążka,              G,  1.88 m,  b. 18 Mar 1999 @ Kraków
Stanisław Wawrzynowicz,       M,  1.77 m,  b. 13 Mar 1999 @ Poznań
Serafin Szota,                D,  1.86 m,  b. 4 Mar 1999 @ Namysłów
Dawid Kurminowski,            F,  1.82 m,  b. 24 Feb 1999 @ Śrem
Marek Mróz,                   M,  1.79 m,  b. 18 Feb 1999 @ Nowy Sącz
Szymon Lewkot,                M,  1.87 m,  b. 18 Feb 1999 @ Wrocław
Rafał Strączek,               G,  1.90 m,  b. 12 Feb 1999 @ Jarosław
Tymoteusz Puchacz,            D,  1.80 m,  b. 23 Jan 1999 @ Sulechów
Kamil Grabara,                G,  1.90 m,  b. 8 Jan 1999 @ Ruda Śląska

Mateusz Żyro,                 D,  1.87 m,  b. 28 Oct 1998 @ Warsaw
Kamil Pestka,                 D,  1.87 m,  b. 22 Aug 1998 @ Kraków
Sebastian Kowalczyk,          M,  1.69 m,  b. 22 Aug 1998 @ Szczecin
Patryk Klimala,               F,  1.83 m,  b. 5 Aug 1998 @ Świdnica
Przemysław Wiśniewski,        D,  1.95 m,  b. 27 Jul 1998 @ Zabrze
Karol Fila,                   D,  1.80 m,  b. 13 Jun 1998 @ Gdańsk
Konrad Poprawa,               D,  1.85 m,  b. 4 Jun 1998 @ Łodź
Robert Gumny,                 D,  1.77 m,  b. 4 Jun 1998 @ Poznań
Damian Michalski,             D,  1.91 m,  b. 17 May 1998 @ Bełchatów
Kamil Jóźwiak,                M,  1.76 m,  b. 22 Apr 1998 @ Międzyrzecz
Bartłomiej Żynel,             G,  1.87 m,  b. 9 Apr 1998 @ Białystok
Juliusz Letniowski,           M,  1.83 m,  b. 8 Apr 1998 @ Gdańsk
Patryk Szysz,                 F,  1.77 m,  b. 1 Apr 1998 @ Lublin
Patryk Dziczek,               M,  1.82 m,  b. 25 Mar 1998 @ Gliwice
Przemysław Płacheta,          M,  1.77 m,  b. 23 Mar 1998 @ Łowicz
Miłosz Szczepański,           M,  1.66 m,  b. 22 Mar 1998 @ Nowy Sącz
Adrian Malachowski,           M,  1.83 m,  b. 10 Mar 1998 @ Bydgoszcz
Michał Kaput,                 M,  1.85 m,  b. 18 Feb 1998 @ Wyszków
Mateusz Bochnak,              M,  1.79 m,  b. 11 Feb 1998 @ Szczecin
Mateusz Czyżycki,             M,  1.74 m,  b. 8 Feb 1998 @ Brzesko
Kamil Pajnowski,              D,  1.86 m,  b. 28 Jan 1998 @ Biała Podlaska
Mateusz Bartolewski,          D,  1.87 m,  b. 12 Jan 1998 @ Szczecinek
Krystian Bielik,              M,  1.89 m,  b. 4 Jan 1998 @ Konin

Michał Mokrzycki,             M,  1.80 m,  b. 29 Dec 1997 @ Rzeszów
Adam Wilk,                    G,  1.96 m,  b. 21 Nov 1997 @ Kraków
Bartosz Pikul,                M,  1.77 m,  b. 2 Nov 1997 @ Tarnowskie Góry
Jakub Łabojko,                M,  1.79 m,  b. 3 Oct 1997 @ Tarnowskie Góry
Konrad Kasolik,               D,  1.93 m,  b. 29 Sep 1997 @ Bielsko-Biała
Szymon Żurkowski,             M,  1.85 m,  b. 25 Sep 1997 @ Tychy
Konrad Michalak,              M,  1.74 m,  b. 19 Sep 1997 @ Szprotawa
Filip Karbowy,                M,  1.78 m,  b. 3 Sep 1997 @ Turek
Patryk Janasik,               D,  1.78 m,  b. 25 Aug 1997 @ Pniewy
Bartłomiej Drągowski,         G,  1.91 m,  b. 19 Aug 1997 @ Białystok
Filip Jagiełło,               M,  1.80 m,  b. 8 Aug 1997 @ Lubin
Matty Cash,                   D,  1.85 m,  b. 7 Aug 1997 @ Slough
Miłosz Kozak,                 M,  1.76 m,  b. 23 May 1997 @ Gostyń
Michał Trąbka,                M,  1.73 m,  b. 22 Apr 1997 @ Ruda Śląska
Dawid Błanik,                 M,  1.73 m,  b. 15 Apr 1997 @ Jastrzębie Zdrój
Dawid Kownacki,               F,  1.87 m,  b. 14 Mar 1997 @ Gorzów Wielkopolski
Michał Walski,                M,  1.69 m,  b. 27 Feb 1997 @ Tarnobrzeg
Mateusz Wieteska,             D,  1.87 m,  b. 11 Feb 1997 @ Warsaw
Karol Świderski,              F,  1.84 m,  b. 23 Jan 1997 @ Rawicz
Artur Siemaszko,              F,  1.81 m,  b. 6 Jan 1997 @ Wałbrzych
Sebastian Madejski,           G,  1.84 m,  b. 2 Jan 1997 @ Bielsko-Biała

Robert Dadok,                 D,  1.82 m,  b. 24 Dec 1996 @ Cieszyn
Bartosz Kapustka,             M,  1.79 m,  b. 23 Dec 1996 @ Tarnów
Maciej Firlej,                F,  1.81 m,  b. 23 Sep 1996 @ Kowary
Mateusz Wdowiak,              M,  1.74 m,  b. 28 Aug 1996 @ Kraków
Jakub Bartosz,                D,  1.83 m,  b. 13 Aug 1996 @ Myślenice
Rafał Makowski,               M,  1.91 m,  b. 5 Aug 1996 @ Warsaw
Kamil Dankowski,              D,  1.77 m,  b. 22 Jul 1996 @ Duszniki Zdrój
Maksymilian Stryjek,          G,  1.88 m,  b. 18 Jul 1996 @ Warsaw
Adam Buksa,                   F,  1.91 m,  b. 12 Jul 1996 @ Kraków
Jacek Podgórski,              M,  1.80 m,  b. 23 Jun 1996 @ Człuchów
Jakub Serafin,                M,  1.81 m,  b. 25 May 1996 @ Olsztyn
Jakub Łukowski,               M,  1.72 m,  b. 25 May 1996 @ Bydgoszcz
Sebastian Musiolik,           F,  1.89 m,  b. 19 May 1996 @ Knurów
Grzegorz Tomasiewicz,         M,  1.66 m,  b. 5 May 1996 @ Jaworzno
Szymon Szymański,             D,  1.85 m,  b. 13 Apr 1996 @ Bielsko-Biała
Jan Bednarek,                 D,  1.89 m,  b. 12 Apr 1996 @ Słupca
Tomasz Wojcinowicz,           D,  1.86 m,  b. 12 Apr 1996 @ Białogard
Mateusz Grzybek,              D,  1.78 m,  b. 30 Mar 1996 @ Tychy
Przemysław Szur,              D,  1.89 m,  b. 24 Mar 1996 @ Wejherowo
Karol Angielski,              F,  1.77 m,  b. 20 Mar 1996 @ Kielce
Damian Rasak,                 M,  1.84 m,  b. 8 Feb 1996 @ Toruń
Paweł Bochniewicz,            D,  1.94 m,  b. 30 Jan 1996 @ Dębica
Paweł Stolarski,              D,  1.81 m,  b. 28 Jan 1996 @ Kraków

Marcin Cebula,                M,  1.74 m,  b. 6 Dec 1995 @ Staszów
Remigiusz Szywacz,            D,  1.89 m,  b. 7 Nov 1995 @ Kraków
