=================================
=  Germany

Matteo Palma,                 D,  1.94 m,  b. 13 Mar 2008 @ Berlin
Moritz Jenz,                  D,  1.90 m,  b. 30 Apr 1999 @ Berlin
Niclas Thiede,                G,  1.87 m,  b. 14 Apr 1999 @ Hagen
Sinan Karweina,               M,  1.73 m,  b. 29 Mar 1999 @ Gummersbach
Eduardo Dos Santos Haesler,   G,  1.96 m,  b. 10 Feb 1999 @ Duisburg
Arne Maier,                   M,  1.83 m,  b. 8 Jan 1999 @ Ludwigsfelde
Jan-Niklas Beste,             M,  1.78 m,  b. 4 Jan 1999 @ Hamm

Lukas Nmecha,                 F,  1.85 m,  b. 12 Dec 1998 @ Hamburg
Anton Stach,                  M,  1.92 m,  b. 15 Nov 1998 @ Buchholz in der Nordheide
Lukas Daschner,               M,  1.77 m,  b. 1 Oct 1998 @ Duisburg
Steven Benda,                 G,  1.92 m,  b. 1 Oct 1998 @ Stuttgart
Robin Hack,                   M,  1.76 m,  b. 27 Aug 1998 @ Pforzheim
Phillip Menzel,               G,  1.91 m,  b. 18 Aug 1998 @ Kiel
Florian Dietz,                F,  1.90 m,  b. 3 Aug 1998 @ Bad Neustadt an der Saale
Steffen Tigges,               F,  1.93 m,  b. 31 Jul 1998 @ Osnabrück
Nico Gorzel,                  M,  1.74 m,  b. 29 Jul 1998 @ Munich
Paul Jaeckel,                 D,  1.88 m,  b. 22 Jul 1998 @ Eisenhüttenstadt
Florent Muslija,              M,  1.72 m,  b. 6 Jul 1998 @ Achern
Dennis Geiger,                M,  1.72 m,  b. 10 Jun 1998 @ Mosbach
Iba May,                      M,  1.83 m,  b. 6 Jun 1998 @ Berlin
Felix Passlack,               M,  1.70 m,  b. 29 May 1998 @ Bottrop
Maxim Leitsch,                D,  1.88 m,  b. 18 May 1998 @ Essen
Vitaly Janelt,                M,  1.84 m,  b. 10 May 1998 @ Hamburg
Moritz-Broni Kwarteng,        M,  1.78 m,  b. 28 Apr 1998 @ Stuttgart
David Raum,                   D,  1.80 m,  b. 22 Apr 1998 @ Nuremberg
Ridle Baku,                   M,  1.76 m,  b. 8 Apr 1998 @ Mainz
Julian Justvan,               M,  1.77 m,  b. 2 Apr 1998 @ Landshut
Finn Dahmen,                  G,  1.86 m,  b. 27 Mar 1998 @ Wiesbaden
Niklas Schmidt,               M,  1.84 m,  b. 1 Mar 1998 @ Kassel
Julian Chabot,                D,  1.95 m,  b. 12 Feb 1998 @ Hanau
Omar Traoré,                  D,  1.87 m,  b. 4 Feb 1998 @ Osnabrück
Amos Pieper,                  D,  1.92 m,  b. 17 Jan 1998 @ Lüdinghausen
Niklas Dorsch,                M,  1.75 m,  b. 15 Jan 1998 @ Lichtenfels
Salih Özcan,                  M,  1.80 m,  b. 11 Jan 1998 @ Cologne
Chris Führich,                M,  1.78 m,  b. 9 Jan 1998 @ Castrop-Rauxel

Till Schumacher,              D,  1.75 m,  b. 10 Dec 1997 @ Essen
Marco Richter,                M,  1.76 m,  b. 24 Nov 1997 @ Friedberg
Florian Müller,               G,  1.92 m,  b. 13 Nov 1997 @ Saarlouis
Elvis Rexhbecaj,              M,  1.82 m,  b. 1 Nov 1997 @ Gjonaj
Moritz Nicolas,               G,  1.93 m,  b. 21 Oct 1997 @ Gladbeck
Marvin Mehlem,                M,  1.74 m,  b. 11 Sep 1997 @ Karlsruhe
Felix Uduokhai,               D,  1.92 m,  b. 9 Sep 1997 @ Annaberg-Buchholz
Frank Ronstadt,               D,  1.79 m,  b. 21 Jul 1997 @ Hamburg
Philip Tietz,                 F,  1.90 m,  b. 9 Jul 1997 @ Braunschweig
Matthias Bader,               D,  1.76 m,  b. 17 Jun 1997 @ Pforzheim
Adrian Beck,                  M,  1.86 m,  b. 9 Jun 1997 @ Crailsheim
Max Besuschkow,               M,  1.85 m,  b. 31 May 1997 @ Tübingen
Matthias Köbbing,             G,  1.96 m,  b. 28 May 1997 @ Koblenz
Keven Schlotterbeck,          D,  1.89 m,  b. 28 Apr 1997 @ Weinstadt
Suat Serdar,                  M,  1.83 m,  b. 11 Apr 1997 @ Bingen
Jonas Arweiler,               F,  1.88 m,  b. 10 Apr 1997 @ Püttlingen
Morten Behrens,               G,  1.93 m,  b. 1 Apr 1997 @ Bad Segeberg
Scott Kennedy,                D,  1.93 m,  b. 31 Mar 1997 @ Calgary
Braydon Manu,                 M,  1.70 m,  b. 28 Mar 1997 @ Itzehoe
Maximilian Mittelstädt,       D,  1.78 m,  b. 18 Mar 1997 @ Berlin
Florian Neuhaus,              M,  1.79 m,  b. 16 Mar 1997 @ Landsberg
Benjamin Henrichs,            D,  1.81 m,  b. 23 Feb 1997 @ Bocholt
Benedikt Gimber,              M,  1.85 m,  b. 19 Feb 1997 @ Buchen
Fabian Rüdlin,                M,  1.76 m,  b. 13 Jan 1997 @ Müllheim

Nicolai Rapp,                 M,  1.85 m,  b. 13 Dec 1996 @ Heidelberg
Maximilian Eggestein,         M,  1.81 m,  b. 8 Dec 1996 @ Hannover
Paterson Chato,               M,  1.88 m,  b. 1 Dec 1996 @ Goma
Nadiem Amiri,                 M,  1.78 m,  b. 27 Oct 1996 @ Ludwigshafen am Rhein
Atakan Karazor,               D,  1.90 m,  b. 13 Oct 1996 @ Essen
Alexander Nübel,              G,  1.93 m,  b. 30 Sep 1996 @ Paderborn
Thilo Kehrer,                 D,  1.84 m,  b. 21 Sep 1996 @ Tübingen
Tim Skarke,                   M,  1.80 m,  b. 7 Sep 1996 @ Nattheim
Noah-Joel Sarenren-Bazee,     M,  1.82 m,  b. 21 Aug 1996 @ Celle
Luca Pfeiffer,                F,  1.95 m,  b. 20 Aug 1996 @ Bad Mergentheim
Timo Hübers,                  D,  1.90 m,  b. 20 Jul 1996 @ Hildesheim
Waldemar Anton,               D,  1.82 m,  b. 20 Jul 1996 @ Olmaliq
Deniz Undav,                  F,  1.79 m,  b. 19 Jul 1996 @ Achim
Robin Koch,                   D,  1.90 m,  b. 17 Jul 1996 @ Kaiserslautern
Lukas Klostermann,            D,  1.85 m,  b. 3 Jun 1996 @ Gevelsberg
Luca Waldschmift,             F,  1.77 m,  b. 19 May 1996 @ Siegen
Julian Brandt,                M,  1.83 m,  b. 2 May 1996 @ Bremen
Christian Kühlwetter,         F,  1.80 m,  b. 21 Apr 1996 @ Bonn
Pascal Stenzel,               D,  1.84 m,  b. 20 Mar 1996 @ Bünde
Timo Werner,                  F,  1.80 m,  b. 6 Mar 1996 @ Stuttgart
Jonathan Tah,                 D,  1.92 m,  b. 11 Feb 1996 @ Hamburg
Aaron Seydel,                 F,  1.99 m,  b. 7 Feb 1996 @ Mainz
Jonas Föhrenbach,             D,  1.85 m,  b. 26 Jan 1996 @ Freiburg
Leroy Sané,                   F,  1.83 m,  b. 11 Jan 1996 @ Essen
Mahmoud Dahoud,               M,  1.76 m,  b. 1 Jan 1996 @ Amuda

Marvin Friedrich,             D,  1.90 m,  b. 13 Dec 1995 @ Kassel
Niklas Klinger,               G,  1.86 m,  b. 13 Oct 1995 @ Wolfsburg
