=================================
=  Switzerland

Dominik Schwizer,             M,  1.81 m,  b. 25 Jun 1996 @ Schmerikon
Edimilson Fernandes,          M,  1.90 m,  b. 15 Apr 1996 @ Sion
Noam Baumann,                 G,  1.92 m,  b. 10 Apr 1996 @ Baar
Marvin Spielmann,             M,  1.80 m,  b. 23 Feb 1996 @ Olten
Maxime Dominguez,             M,  1.72 m,  b. 1 Feb 1996 @ Geneva
Kemal Ademi,                  F,  1.97 m,  b. 23 Jan 1996 @ Villingen-Schwenningen
Nicolas Haas,                 M,  1.81 m,  b. 23 Jan 1996 @ Sursee
Ulisses Garcia,               D,  1.82 m,  b. 11 Jan 1996 @ Almada
João Oliveira,                M,  1.77 m,  b. 6 Jan 1996 @ Nyon

Quentin Maceiras,             D,  1.81 m,  b. 10 Oct 1995 @ Sion
Vincent Sierro,               M,  1.84 m,  b. 8 Oct 1995 @ Sierre
Francisco Rodríguez,          M,  1.78 m,  b. 14 Sep 1995 @ Zürich
Zoran Josipović,              F,  1.88 m,  b. 25 Aug 1995 @ Mendrisio
Nicolas Bürgy,                D,  1.85 m,  b. 7 Aug 1995 @ Bern
Manuel Akanji,                D,  1.87 m,  b. 19 Jul 1995 @ Winterthur
Kevin Martin,                 G,  1.80 m,  b. 13 Jun 1995 @ Lausanne
Mergim Qarri,                 M,  1.79 m,  b. 10 Jun 1995 @ Suva Reka
Yannick Schmid,               D,  1.84 m,  b. 11 May 1995 @ Lucerne
Kevin Mbabu,                  D,  1.84 m,  b. 19 Apr 1995 @ Chêne-Bougeries
Michael Gonçalves,            D,  1.74 m,  b. 10 Mar 1995 @ Basel
Florian Kamberi,              F,  1.89 m,  b. 8 Mar 1995 @ Zürich
Roy Gelmi,                    D,  1.88 m,  b. 1 Mar 1995 @ Bassersdorf
Olivier Custodio,             M,  1.79 m,  b. 10 Feb 1995 @ Montreux
Shani Tarashaj,               F,  1.76 m,  b. 7 Feb 1995 @ Tirana
Grégory Karlen,               M,  1.87 m,  b. 30 Jan 1995 @ Sion
Michael Kempter,              D,  1.80 m,  b. 12 Jan 1995 @ Schlieren

