=================================
=  Senegal

Yves Baraye,                  F,  1.77 m,  b. 22 Jun 1992 @ Dakar
Abdoulaye Seck,               D,  1.92 m,  b. 4 Jun 1992 @ M'Bour
Sadio Mané,                   M|F,1.75 m,  b. 10 Apr 1992 @ Sédhiou
Abdoulaye Diallo,             G,  1.89 m,  b. 30 Mar 1992 @ Reims
Joseph Romeric Lopy,          M,  1.81 m,  b. 15 Mar 1992 @ Boutoupa
Édouard Mendy,                G,  1.97 m,  b. 1 Mar 1992 @ Montivilliers
Amidou Diop,                  M,  1.96 m,  b. 27 Feb 1992 @ Missirah
Arthur Yannick Gomis,         F,  1.80 m,  b. 3 Feb 1992 @ Dakar
Bouna Sarr,                   D,  1.77 m,  b. 31 Jan 1992 @ Lyon
Davide Diaw,                  F,  1.85 m,  b. 6 Jan 1992 @ Cividale del Friuli

Mamadou Fall,                 M,  1.84 m,  b. 31 Dec 1991
Pape Sané,                    F,  1.87 m,  b. 30 Dec 1991 @ Dakar
Emile Thiakane,               M,  1.90 m,  b. 17 Nov 1991 @ Pikine
Mbaye Diagne,                 F,  1.92 m,  b. 28 Oct 1991 @ Dakar
Souleymane Doukara,           F,  1.93 m,  b. 29 Sep 1991 @ Meudon
Souleymane Cissé,             M,  1.72 m,  b. 30 Jul 1991 @ Sédhiou
Kalidou Koulibaly,            D,  1.95 m,  b. 20 Jun 1991 @ Saint-Dié
Ablaye Mbengue,               F,  1.87 m,  b. 19 Mar 1991 @ Thiès
Abdoulaye Ba,                 D,  1.97 m,  b. 1 Jan 1991 @ St. Louis

Christophe Diandy,            M,  1.86 m,  b. 25 Nov 1990 @ Dakar
Badou Ndiaye,                 M,  1.79 m,  b. 27 Oct 1990 @ Dakar
Henri Saivet,                 M,  1.73 m,  b. 26 Oct 1990 @ Dakar
Aliou Coly,                   D,  1.86 m,  b. 14 Sep 1990 @ Bila
Ibrahima Baldé,               F,  1.87 m,  b. 1 Sep 1990 @ Pikine
Salif Sané,                   D,  1.94 m,  b. 25 Aug 1990 @ Lormont
Pierre Sagna,                 D,  1.83 m,  b. 21 Aug 1990 @ Valenciennes
Pape N'Diaye Souaré,          D,  1.78 m,  b. 6 Jun 1990 @ Mbao
Oumar Niasse,                 F,  1.82 m,  b. 18 Apr 1990 @ Ouakam
Alfred N'Diaye,               M,  1.87 m,  b. 6 Mar 1990 @ Paris
Pape Maly Diamanka,           M,  1.84 m,  b. 10 Jan 1990 @ Dakar

Diafra Sakho,                 F,  1.84 m,  b. 24 Dec 1989 @ Guédiawaye
Cheikhou Kouyaté,             M,  1.89 m,  b. 21 Dec 1989 @ Dakar
Kara Mbodji,                  D,  1.92 m,  b. 11 Nov 1989 @ Ndiass
Zargo Touré,                  D,  1.83 m,  b. 11 Nov 1989 @ Pikine
Lamine Gassama,               D,  1.81 m,  b. 20 Oct 1989 @ Marseille
Armand Traoré,                D,  1.85 m,  b. 8 Oct 1989 @ Paris
Idrissa Gueye,                M,  1.74 m,  b. 26 Sep 1989 @ Dakar
Saliou Ciss,                  D,  1.73 m,  b. 15 Sep 1989 @ Dakar
Fallou Diagné,                D,  1.85 m,  b. 14 Aug 1989 @ Pikine
Ibrahima Seck,                M,  1.92 m,  b. 10 Aug 1989 @ Bargny
Vieux Sané,                   D,  1.91 m,  b. 4 Aug 1989 @ Dakar
Papa Diouf,                   F,  1.80 m,  b. 22 Jun 1989 @ Dakar

Papy Djilobodji,              D,  1.93 m,  b. 1 Dec 1988 @ Kaolack
