=================================
=  Belgium

Daam Foulon,                  D,  1.80 m,  b. 23 Mar 1999 @ Mechelen
Sebastiaan Bornauw,           D,  1.90 m,  b. 22 Mar 1999 @ Wemmel
Thibo Somers,                 F,  1.73 m,  b. 16 Mar 1999
Hannes Delcroix,              D,  1.85 m,  b. 28 Feb 1999 @ Grande Hatte
Senne Lynen,                  M,  1.85 m,  b. 19 Feb 1999 @ Borsbeek
Olivier Vliegen,              G,  1.88 m,  b. 7 Feb 1999 @ Bree
Daouda Peeters,               M,  1.85 m,  b. 26 Jan 1999 @ Kamsar

Alec Van Hoorenbeeck,         D,  1.87 m,  b. 30 Dec 1998 @ Mortsel
Dante Rigo,                   M,  1.80 m,  b. 11 Dec 1998 @ Tremelo
Gaëtan Coucke,                G,  1.87 m,  b. 3 Dec 1998 @ Tongeren
Jacky Donkor,                 F,  1.76 m,  b. 12 Nov 1998 @ Ghent
Sami Lahssaini,               M,  1.77 m,  b. 18 Sep 1998 @ Liège
Jason Eyenga-Lokilo,          F,  1.75 m,  b. 17 Sep 1998 @ Brussels
Charles Vanhoutte,            M,  1.82 m,  b. 16 Sep 1998 @ Kortrijk
Thibault De Smet,             D,  1.82 m,  b. 5 Jun 1998 @ Bruges
Moutir Chajia,                M,  1.77 m,  b. 4 Jun 1998 @ Heusden-Zolder
Siebe Horemans,               D,  1.86 m,  b. 2 Jun 1998 @ Gent
Siebe Van Der Heyden,         D,  1.85 m,  b. 30 May 1998 @ Denderleeuw
Robbe Decostere,              D,  1.78 m,  b. 8 May 1998
Wout Faes,                    D,  1.85 m,  b. 3 Apr 1998 @ Mol
Orel Mangala,                 M,  1.80 m,  b. 18 Mar 1998 @ Brussels
Ahmed Touba,                  D,  1.84 m,  b. 13 Mar 1998 @ Roubaix
Arnaud Bodart,                G,  1.84 m,  b. 11 Mar 1998 @ Seraing
Elton Kabangu,                F,  1.78 m,  b. 8 Feb 1998 @ Kortrijk
Viktor Boone,                 D,  1.93 m,  b. 25 Jan 1998
Rubin Seigers,                D,  1.89 m,  b. 11 Jan 1998 @ Lommel

Elias Cobbaut,                D,  1.88 m,  b. 24 Nov 1997 @ Mechelen
Aaron Leya Iseka,             F,  1.80 m,  b. 15 Nov 1997 @ Brussels
Julien Ngoy,                  F,  1.85 m,  b. 2 Nov 1997 @ Antwerp
Sofian Kiyine,                M,  1.82 m,  b. 2 Oct 1997 @ Verviers
Dodi Lukebakio,               M,  1.87 m,  b. 24 Sep 1997 @ Asse
Antoine Bernier,              M,  1.70 m,  b. 10 Sep 1997 @ Dinant
Nordin Jackers,               G,  1.87 m,  b. 5 Sep 1997 @ Veldwezelt
Landry Dimata,                F,  1.85 m,  b. 1 Sep 1997 @ Mbuji-Mayi
Philippe Rommens,             M,  1.76 m,  b. 20 Aug 1997 @ Wommelgem
Thibault Vlietinck,           D,  1.78 m,  b. 19 Aug 1997 @ Knokke
Martin Remacle,               M,  1.76 m,  b. 16 May 1997 @ Verviers
Youri Tielemans,              M,  1.76 m,  b. 7 May 1997 @ Sint-Pieters-Leeuw
Ortwin De Wolf,               G,  1.85 m,  b. 23 Apr 1997 @ Lokeren
Arno Verschueren,             M,  1.75 m,  b. 8 Apr 1997 @ Lier
Manuel Benson,                F,  1.78 m,  b. 28 Mar 1997 @ Lokeren
Maximiliano Caufriez,         D,  1.89 m,  b. 16 Feb 1997 @ Beveren
Casper de Norre,              D,  1.75 m,  b. 7 Feb 1997 @ Hasselt
Hugo Cuypers,                 F,  1.85 m,  b. 7 Feb 1997 @ Liège
Bryan Heynen,                 M,  1.82 m,  b. 6 Feb 1997 @ Neeroeteren
Senna Miangue,                D,  1.92 m,  b. 5 Feb 1997 @ Antwerp
Dimitri Lavalée,              D,  1.87 m,  b. 13 Jan 1997 @ Soumagne
Alessio Castro-Montes,        M,  1.75 m,  b. 10 Jan 1997 @ Sint-Truiden

Alexis De Sart,               M,  1.80 m,  b. 12 Nov 1996 @ Waremme
Mathias Fixelles,             M,  1.81 m,  b. 11 Aug 1996 @ Soignies
Siebe Schrijvers,             M,  1.76 m,  b. 18 Jul 1996 @ Lommel
Jordi Vanlerberghe,           D,  1.89 m,  b. 27 Jun 1996 @ Duffel
Fabrice Sambu,                D,  1.85 m,  b. 3 Jun 1996 @ Liège
