=================================
=  Norway

Martin Hellan,                D,  1.75 m,  b. 17 Aug 2003
Isak Vådebu,                  D,  - ,      b. 10 Aug 2003
Leo Bech Hermansen,           M,  - ,      b. 28 Jul 2003
Max Normann Williamsen,       D,  1.88 m,  b. 24 Jul 2003
Jørgen Sveinhaug,             G,  - ,      b. 13 Jul 2003 @ Hvam
Oscar Bobb,                   M,  - ,      b. 12 Jul 2003 @ Oslo
Tobias Gulliksen,             M,  1.77 m,  b. 9 Jul 2003 @ Drammen
Ole Langbråten,               G,  1.85 m,  b. 7 Jul 2003 @ Fredrikstad
Sondre Auklend,               M,  1.73 m,  b. 10 Jun 2003
Mathias Johnsrud Emilsen,     M,  1.86 m,  b. 8 Jun 2003 @ Oslo
Patrik Iliev,                 D,  - ,      b. 6 Jun 2003
Sverre Sandal,                M,  1.93 m,  b. 6 Jun 2003 @ Oslo
Simen Kvia-Egeskog,           F,  1.76 m,  b. 26 May 2003 @ Stavanger
Jesper Svenungsen Skau,       D|M,- ,      b. 19 May 2003
Kristian Bernt Torgersen,     M,  1.75 m,  b. 16 May 2003
Peder Nygaard Klausen,        G,  - ,      b. 9 May 2003
Henrik Falchener,             M,  - ,      b. 8 May 2003
Jonas Therkelsen,             M,  1.84 m,  b. 5 May 2003
Albert Palmberg Thorsen,      M,  - ,      b. 23 Apr 2003
Uranik Seferi,                M,  1.75 m,  b. 19 Apr 2003
Stian Aarønes Holte,          D,  1.98 m,  b. 15 Apr 2003 @ Ålesund
Daniel Karlsbakk,             F,  1.86 m,  b. 7 Apr 2003 @ Kristiansand
Kent Malic Swaleh,            M,  - ,      b. 29 Mar 2003
Seedy Jatta,                  F,  1.80 m,  b. 18 Mar 2003
Bendik Brevik,                D,  - ,      b. 1 Mar 2003
Christos Zafeiris,            M,  1.72 m,  b. 23 Feb 2003 @ Athens
Bryan Fiabema,                F,  1.79 m,  b. 16 Feb 2003 @ Tromsø
Andreas Waterfield Skjold,    M,  1.73 m,  b. 2 Feb 2003 @ Konnerud
Isak Vik,                     D,  - ,      b. 22 Jan 2003
Andreas Endresen,             F,  1.83 m,  b. 21 Jan 2003
Odin Thiago Holm,             M,  1.75 m,  b. 18 Jan 2003 @ Trondheim

Elias Hoff Melkersen,         F,  1.73 m,  b. 31 Dec 2002 @ Stjørdal
Jørgen Kili Fjeldskår,        D,  - ,      b. 28 Dec 2002
Håkon Sjåtil,                 D,  1.79 m,  b. 27 Dec 2002 @ Oslo
Wally Njie,                   F,  - ,      b. 20 Dec 2002
Sander Tangvik,               G,  1.85 m,  b. 29 Nov 2002 @ Trondheim
Omar Bully Drammeh,           M,  1.77 m,  b. 21 Nov 2002 @ Oslo
Bendik Kristiansen,           M,  - ,      b. 20 Nov 2002 @ Teie
Niclas Schjøth Semmen,        F,  - ,      b. 13 Nov 2002
Joel Mvuka,                   M,  1.73 m,  b. 12 Nov 2002 @ Bergen
Oscar Solnørdal,              M,  1.82 m,  b. 23 Oct 2002 @ Ålesund
Adan Hussein,                 M,  1.75 m,  b. 13 Oct 2002 @ Bø
Fredrik Carson Pedersen,      D,  1.71 m,  b. 9 Oct 2002 @ Jessheim
Halvor Rødølen Opsahl,        D,  1.94 m,  b. 8 Oct 2002 @ Lillehammer
Anders Hiim,                  D,  1.76 m,  b. 13 Sep 2002
Ole Kristian Enersen,         M,  1.81 m,  b. 6 Sep 2002
Oscar Jansson,                D,  1.90 m,  b. 21 Aug 2002 @ Torp
Fredrik Oppegård,             D,  1.75 m,  b. 7 Aug 2002 @ Oslo
Elias Myrlid,                 F,  - ,      b. 4 Aug 2002
Eskil Edh,                    M,  1.81 m,  b. 4 Aug 2002 @ Lillestrøm
Tobias Guddal,                D,  2.01 m,  b. 25 Jul 2002
Obilor Okeke,                 F,  1.70 m,  b. 23 Jul 2002 @ Oslo
Mats Trige,                   G,  - ,      b. 21 Jul 2002
Kaloyan Kostadinov,           M,  1.75 m,  b. 18 Jul 2002 @ Sandnes
Sebastian Tounekti,           F,  1.70 m,  b. 13 Jul 2002 @ Tromsø
Heine Larsen,                 M,  - ,      b. 9 Jul 2002
Liiban Abadid,                D,  1.92 m,  b. 1 Jul 2002
William Da Rocha,             G,  1.91 m,  b. 15 Jun 2002
Thomas Hallstensen,           D,  1.89 m,  b. 12 Jun 2002 @ Florø
Marius Amundsen Ulla,         G,  1.85 m,  b. 10 Jun 2002 @ Hamar
Tobias Hafstad,               F,  1.78 m,  b. 1 Jun 2002 @ Tromsø
Sebastian Sørlie Henriksen,   D,  1.91 m,  b. 31 May 2002 @ Stavanger
Filip Rønningen Jørgensen,    M,  1.78 m,  b. 27 May 2002 @ Kragerø
Lars Erik Sødal,              M,  1.89 m,  b. 26 May 2002 @ Stavanger
Sebastian Pop,                M,  1.89 m,  b. 24 May 2002
Abel William Stensrud,        F,  - ,      b. 23 May 2002
Sivert Mannsverk,             M,  1.85 m,  b. 8 May 2002 @ Øvre Årdal
Bjørn Martin Kristiansen,     F,  - ,      b. 4 May 2002
Thelo Aasgaard,               M,  1.70 m,  b. 2 May 2002 @ Liverpool
Brage Skaret,                 D,  1.86 m,  b. 28 Apr 2002 @ Skedsmokorset
David Møller Wolfe,           D,  1.82 m,  b. 23 Apr 2002 @ Bergen
Apipon Tongnoy,               M,  - ,      b. 7 Apr 2002
Simen Henriksen,              F,  - ,      b. 3 Apr 2002
Magnus Smelhus Sjøeng,        G,  1.96 m,  b. 23 Mar 2002
Martin Bergum,                M,  - ,      b. 23 Mar 2002
Alexander Sannes,             F,  1.85 m,  b. 5 Mar 2002
Martin Palumbo,               M,  1.82 m,  b. 5 Mar 2002 @ Bergen
Mikkel Rakneberg,             F,  1.87 m,  b. 28 Feb 2002
Niklas Haugland,              F,  1.82 m,  b. 23 Feb 2002 @ Hjellestad
Frank Stople,                 G,  1.90 m,  b. 12 Feb 2002 @ Ølen
Kristoffer Strand Ødven,      M,  1.75 m,  b. 10 Feb 2002 @ Ålesund
Lasse Selvåg Nordås,          F,  1.94 m,  b. 10 Feb 2002 @ Lillestrøm
Tomas Stabell,                M,  1.81 m,  b. 30 Jan 2002 @ Tromsø
Kristoffer Lassen Harrison,   D,  1.85 m,  b. 25 Jan 2002 @ Oslo
Herman Geelmuyden,            M|F,1.75 m,  b. 22 Jan 2002 @ Stabekk
Mikail Maden,                 M,  1.82 m,  b. 17 Jan 2002 @ Bergen
Nicolas Pignatel Jenssen,     D,  1.83 m,  b. 12 Jan 2002 @ Oslo

Momodou Lion Njie,            D,  1.92 m,  b. 10 Dec 2001 @ Oslo
Daniel Skretteberg,           G,  1.90 m,  b. 24 Nov 2001 @ Ringerike
Christopher Cheng,            D|F,1.72 m,  b. 27 Oct 2001 @ Oslo
Frank Bamenye,                F,  1.77 m,  b. 23 Oct 2001 @ Muyovozi
Oliver Petersen,              G,  1.89 m,  b. 26 Sep 2001
Adrian Ugelvik,               D,  1.87 m,  b. 21 Sep 2001
Isak Dybvik Määttä,           M,  1.88 m,  b. 19 Sep 2001 @ Ålesund
Erik Hejer,                   G,  - ,      b. 10 Sep 2001
Adrian Aleksander Hansen,     D,  - ,      b. 3 Sep 2001
Emil Konradsen Ceide,         D|F,1.75 m,  b. 3 Sep 2001 @ Finnsnes
Mikkel Konradsen Ceide,       D,  1.81 m,  b. 3 Sep 2001 @ Finnsnes
