=================================
=  Spain

Hugo Zárate,                  M,  - ,      b. 9 Jan 2004 @ Miranda de Ebro
Eneko Astigarraga,            D,  - ,      b. 8 Jan 2004 @ San Sebastián
Bryan Osorio,                 D,  - ,      b. 4 Jan 2004

Gabri Jimeno,                 F,  1.78 m,  b. 29 Dec 2003 @ Elda
Hugo Sotelo,                  M,  1.80 m,  b. 19 Dec 2003 @ Vigo
Mario Maroto,                 M,  1.76 m,  b. 28 Nov 2003 @ Valladolid
Enrique Fernández,            M,  1.78 m,  b. 16 Nov 2003 @ Trebujena
Mikel Jauregizar,             M,  1.77 m,  b. 13 Nov 2003 @ Bilbao
Alberto Vaquero,              M,  - ,      b. 12 Nov 2003
Alberto Flores,               G,  1.87 m,  b. 9 Nov 2003 @ Fuentes de Andalucía
Álex Almansa,                 F,  - ,      b. 8 Nov 2003
Pau Casadesús,                D,  1.82 m,  b. 30 Oct 2003 @ Vallirana
Marcos Sánchez,               D,  1.78 m,  b. 26 Oct 2003 @ Villarreal
Mateo Joseph,                 F,  1.80 m,  b. 19 Oct 2003 @ Santander
Alejandro Balde,              D,  1.75 m,  b. 18 Oct 2003 @ Barcelona
Pau,                          F,  - ,      b. 17 Oct 2003 @ Benicarló
Mario García,                 D,  1.76 m,  b. 2 Oct 2003 @ Palencia
Selu Diallo,                  M,  1.87 m,  b. 1 Oct 2003 @ Huesca
Alberto Moleiro,              M,  1.69 m,  b. 30 Sep 2003 @ Santa Cruz de Tenerife
John Patrick Finn,            M,  1.93 m,  b. 24 Sep 2003 @ Madrid
David García,                 M,  1.83 m,  b. 15 Sep 2003
Marc Casadó,                  M,  1.73 m,  b. 14 Sep 2003 @ Sant Pere de Vilamajor
Javi Garrido,                 G,  1.86 m,  b. 7 Sep 2003 @ Madrid
Pablo Muñoz,                  M,  1.75 m,  b. 4 Sep 2003 @ San Sebastián de los Reyes
Alejandro Iturbe,             G,  1.86 m,  b. 2 Sep 2003 @ Madrid
Álex Padilla,                 G,  1.90 m,  b. 1 Sep 2003 @ Zarautz
Diego Méndez,                 D,  1.82 m,  b. 29 Aug 2003 @ Móstoles
Álex Cardero,                 M,  - ,      b. 25 Aug 2003 @ Oviedo
Estanis Pedrola,              F,  1.85 m,  b. 24 Aug 2003 @ Cambrils
Juanlu Sánchez,               M,  1.86 m,  b. 15 Aug 2003 @ Seville
Julio Cabrera,                D,  1.75 m,  b. 14 Aug 2003 @ Olvera
Manu Morillo,                 F,  - ,      b. 14 Aug 2003 @ Sanlúcar la Mayor
Rafa Romero,                  G,  1.92 m,  b. 7 Aug 2003 @ Jerez de la Frontera
Carlos Álvarez,               M,  1.65 m,  b. 6 Aug 2003 @ Sanlúcar la Mayor
Álvaro Aceves,                G,  - ,      b. 26 Jul 2003 @ Valladolid
Diego Sánchez,                D,  1.79 m,  b. 18 Jul 2003 @ Avilés
Piri,                         F,  - ,      b. 10 Jul 2003 @ Alcorcón
Oso,                          F,  1.83 m,  b. 9 Jul 2003 @ Torrevieja
Pablo Marín,                  M,  1.78 m,  b. 3 Jul 2003 @ Logroño
Hugo Álvarez,                 M,  1.85 m,  b. 2 Jul 2003 @ Ourense
Javi Rodríguez,               D,  - ,      b. 26 Jun 2003 @ Pontevedra
Iker Aldai,                   D,  - ,      b. 24 Jun 2003 @ Getxo
José Antonio Arjona,          M,  1.74 m,  b. 21 Jun 2003 @ Huelva
Marc Pubill,                  D,  1.90 m,  b. 20 Jun 2003 @ Terrassa
Pablo Barrios,                M,  1.81 m,  b. 15 Jun 2003 @ Madrid
Diego Aznar,                  F,  - ,      b. 9 Jun 2003 @ Zaragoza
Oscar Ureña,                  F,  - ,      b. 31 May 2003 @ Figueres
Antonio Pina,                 G,  - ,      b. 29 May 2003
Eneko Ortiz,                  D,  1.80 m,  b. 26 May 2003 @ Miranda de Ebro
Unai Gómez,                   M,  1.83 m,  b. 25 May 2003 @ Bermeo
Adrían Salguero,              D,  1.83 m,  b. 20 May 2003 @ El Vendrell
Antonio Gomis,                G,  1.86 m,  b. 20 May 2003 @ Elche
Yeray Cabanzón,               M,  1.70 m,  b. 14 May 2003 @ Isla
Javi Guerra,                  M,  1.87 m,  b. 13 May 2003 @ Valencia
Alvin,                        G,  - ,      b. 12 May 2003 @ Madrid
Dylan Perera,                 M,  1.75 m,  b. 11 May 2003 @ Santa Cruz de Tenerife
Fermín López,                 M,  1.76 m,  b. 11 May 2003 @ El Campillo
Israel Salazar,               F,  1.77 m,  b. 10 May 2003 @ Badajoz
Isra Domínguez,               F,  1.75 m,  b. 7 May 2003 @ Antequera
Alan Godoy,                   F,  1.78 m,  b. 4 May 2003 @ Las Palmas
Diego Rosales,                D,  - ,      b. 29 Apr 2003 @ Miranda de Ebro
Miguel Rodríguez,             F,  1.79 m,  b. 29 Apr 2003 @ Redondela
Arnau Rafús,                  G,  1.90 m,  b. 27 Apr 2003 @ Vic
Adrián Miranda,               D,  1.83 m,  b. 26 Apr 2003 @ Olesa de Montserrat
Arnau Martínez,               D,  1.82 m,  b. 25 Apr 2003 @ Premià de Dalt
Íker Venteo,                  G,  1.93 m,  b. 24 Apr 2003 @ Vilanova del Camí
Jaime Garrido,                F,  - ,      b. 19 Apr 2003 @ Madrid
Carlos Calavia,               G,  - ,      b. 17 Apr 2003
Diego Hormigo,                D,  1.82 m,  b. 16 Apr 2003 @ Seville
César Álvarez,                D,  - ,      b. 15 Apr 2003 @ Santa Cruz de Tenerife
Yago Santiago,                M,  - ,      b. 15 Apr 2003 @ Vigo
Jorge Pascual,                F,  1.87 m,  b. 9 Apr 2003 @ Almería
Ibon Ispizua,                 G,  1.85 m,  b. 8 Apr 2003 @ Sukarrieta
David Sellés,                 D,  1.85 m,  b. 5 Apr 2003 @ Valencia
Marcos Luna,                  D,  1.80 m,  b. 5 Apr 2003 @ Zaragoza
Arnau Solà,                   D,  1.79 m,  b. 4 Apr 2003 @ Amposta
Pablo Torre,                  M,  1.73 m,  b. 3 Apr 2003 @ Soto de la Marina
Lander Emery,                 G,  - ,      b. 29 Mar 2003
Damián Rodríguez,             M,  1.80 m,  b. 17 Mar 2003 @ Ponteareas
Javi Pamies,                  D,  - ,      b. 17 Mar 2003
Luis Roldán,                  M,  - ,      b. 17 Mar 2003
Rubén Iranzo,                 D,  1.82 m,  b. 14 Mar 2003 @ Picanya
Aitor Fraga,                  G,  1.94 m,  b. 9 Mar 2003 @ Hernani
David Torres,                 D,  1.87 m,  b. 5 Mar 2003 @ Valladolid
Nico Serrano,                 F,  1.78 m,  b. 5 Mar 2003 @ Pamplona
Víctor Rodríguez,             D,  - ,      b. 5 Mar 2003
Jordi Ortega,                 M,  1.82 m,  b. 23 Feb 2003 @ Castellón
Andrés García,                F,  - ,      b. 7 Feb 2003
Hugo González,                M,  1.84 m,  b. 7 Feb 2003 @ Valencia
Hugo Solozábal,               M,  - ,      b. 7 Feb 2003 @ Madrid
Ricard Artero,                M,  - ,      b. 5 Feb 2003 @ La Bisbal d'Empordà
Álex Gil,                     M,  - ,      b. 5 Feb 2003 @ Madrid
David López,                  D,  1.95 m,  b. 3 Feb 2003 @ Palma de Mallorca
Diego de Pedro,               M,  - ,      b. 3 Feb 2003 @ Almoradí
Txus Alba,                    M,  1.73 m,  b. 31 Jan 2003 @ Barcelona
Hugo Rincón,                  D,  1.83 m,  b. 27 Jan 2003 @ Valtierra
Ale Palanca,                  D,  1.75 m,  b. 26 Jan 2003 @ Las Palmas
Hugo Novoa,                   F,  1.82 m,  b. 24 Jan 2003 @ Bertamiráns
Álex Oyón,                    F,  1.71 m,  b. 23 Jan 2003 @ Gijón
Gabri Martínez,               F,  1.85 m,  b. 22 Jan 2003 @ Sant Fost de Campsentelles
Darío Serra,                  F,  1.80 m,  b. 20 Jan 2003 @ Vera
Ángel Gómez,                  D,  1.93 m,  b. 20 Jan 2003 @ Granada
Lucas Ricoy,                  F,  - ,      b. 18 Jan 2003
Javi Serrano,                 M,  1.79 m,  b. 16 Jan 2003 @ Madrid
Xavi Pleguezuelo,             D,  1.78 m,  b. 14 Jan 2003 @ Barcelona
Darío Benavides,              D,  1.78 m,  b. 12 Jan 2003 @ El Ejido
Manu Rico,                    F,  - ,      b. 11 Jan 2003
Iñaki Rupérez,                D,  - ,      b. 7 Jan 2003 @ Ansoáin
Aitor Mañas,                  F,  1.81 m,  b. 5 Jan 2003 @ Madrid
Rodri Alonso,                 M,  1.72 m,  b. 4 Jan 2003 @ Castelló de la Plana
Jesús Vázquez,                D,  1.82 m,  b. 2 Jan 2003 @ Mérida
Dawda Dambelleh,              F,  - ,      b. 1 Jan 2003 @ Sabadell

Iván Azón,                    F,  1.81 m,  b. 24 Dec 2002 @ Zaragoza
Hugo Pérez,                   D,  1.89 m,  b. 16 Dec 2002 @ Barcelona
Raúl Moro,                    F,  1.69 m,  b. 5 Dec 2002 @ Abrera
Neco Rubayo,                  M,  1.70 m,  b. 2 Dec 2002 @ Santander
Carlos Benítez,               M,  - ,      b. 25 Nov 2002 @ Catarroja
Pedri,                        M,  1.77 m,  b. 25 Nov 2002 @ Tegueste
Joan Puig,                    D,  - ,      b. 16 Nov 2002 @ Girona
Marcos Cuenca,                F,  - ,      b. 7 Nov 2002 @ Zaragoza
Iker Muñoz,                   M,  1.78 m,  b. 5 Nov 2002 @ Villafranca
Ansu Fati,                    F,  1.78 m,  b. 31 Oct 2002 @ Bissau
Yéremi Pino,                  F,  1.72 m,  b. 20 Oct 2002 @ Las Palmas
Kai Corbett,                  F,  1.82 m,  b. 8 Oct 2002 @ Barcelona
Lulo Dasilva,                 M,  1.87 m,  b. 4 Oct 2002 @ Seville
Peque,                        F,  1.72 m,  b. 4 Oct 2002 @ L'Hospitalet de Llobregat
Ángel Troncho,                M,  - ,      b. 2 Oct 2002
Jon Karrikaburu,              F,  1.83 m,  b. 19 Sep 2002 @ Elizondo
Guille Bueno,                 D,  1.76 m,  b. 18 Sep 2002 @ Vigo
Hugo Bueno,                   D,  1.80 m,  b. 18 Sep 2002 @ Vigo
