=================================
=  Scotland

Ben House,                    F,  1.75 m,  b. 5 Jul 1999 @ Guildford
Jamie Gullan,                 F,  1.83 m,  b. 2 Jul 1999 @ Edinburgh
Patrick Martin,               G,  - ,      b. 21 Jun 1999
Cameron Elliott,              F,  1.83 m,  b. 27 May 1999 @ Beith
Fraser Murray,                M,  1.73 m,  b. 7 May 1999 @ Glasgow
Mikey Johnston,               M,  1.76 m,  b. 19 Apr 1999 @ Glasgow
Wallace Duffy,                D,  1.73 m,  b. 12 Apr 1999 @ Dunfermline
Owen Gallacher,               D,  1.74 m,  b. 6 Apr 1999 @ Newcastle upon Tyne
Kieran Wright,                G,  - ,      b. 1 Apr 1999
Louis Appéré,                 F,  1.86 m,  b. 26 Mar 1999 @ Perth
Jake Hastie,                  M,  1.81 m,  b. 18 Mar 1999 @ Law
Ryan Porteous,                D,  1.85 m,  b. 1 Mar 1999 @ Dalkeith
Ross Maciver,                 M,  1.85 m,  b. 28 Feb 1999 @ Inverness
Cameron Yates,                G,  1.86 m,  b. 14 Feb 1999 @ Edinburgh
Charlie Gilmour,              M,  1.71 m,  b. 11 Feb 1999 @ Brighton
Liam Burt,                    M,  1.73 m,  b. 1 Feb 1999 @ Glasgow
Jamie Barjonas,               M,  1.73 m,  b. 24 Jan 1999 @ Glasgow
Kyle McAllister,              M,  1.78 m,  b. 21 Jan 1999 @ Paisley

Cameron MacPherson,           M,  1.73 m,  b. 29 Dec 1998 @ Glasgow
James Penrice,                D,  1.77 m,  b. 22 Dec 1998 @ Livingston
Ronan Hughes,                 M,  1.76 m,  b. 15 Dec 1998 @ Glasgow
Anthony Ralston,              D,  1.83 m,  b. 16 Nov 1998 @ Glasgow
Tom McIntyre,                 D,  1.85 m,  b. 6 Nov 1998 @ Reading
Sean Mackie,                  D,  1.78 m,  b. 4 Nov 1998 @ Edinburgh
Harry Souttar,                D,  1.98 m,  b. 22 Oct 1998 @ Aberdeen
Ethan Hamilton,               M,  1.87 m,  b. 18 Oct 1998 @ Edinburgh
Harvey St Clair,              F,  1.83 m,  b. 13 Oct 1998 @ Kingston upon Thames
Jordan Lawrence-Gabriel,      D,  1.78 m,  b. 25 Sep 1998 @ London
Bruce Anderson,               F,  1.73 m,  b. 23 Sep 1998 @ Aberdeen
Daniel Bramall,               M,  1.70 m,  b. 3 Sep 1998 @ Sheffield
